Scheme Name,Eligibility,Details,Apply Link,Age,Gender,State,Occupation,Category
CBSE Merit Scholarship Scheme for Single Girl Child,Only girl child in the family studying in classes XI-XII in CBSE-affiliated schools,Scholarship for single girl child studying in CBSE schools,https://cbse.nic.in,16-18,Female,All India,Student,All Categories
Post-Matric Scholarship for SC Students,"SC students with family income below Rs.2.5 lakh per annum, pursuing post-matriculation or post-secondary education","Financial assistance for SC students pursuing post-matriculation studies, covering tuition fees, maintenance allowance, etc.",https://scholarships.gov.in,16-24,All,All India,Student,SC
Central Sector Scheme of Scholarships for College and University Students,"Students in top 20 percentile in Class XII board exams, family income below Rs.8 lakh per annum","Provides 82,000 scholarships annually for undergraduate studies in sciences, humanities, commerce, and professional courses",https://scholarships.gov.in,Below 25,All,All India,Student,All Categories
National Scholarship Portal (NSP),Varies by specific scheme,Single window platform for multiple scholarship schemes from central and state governments,https://scholarships.gov.in,Jun-35,All,All India,Student,All Categories
Prime Minister's Research Fellowship (PMRF),"BTech/Integrated MTech/MSc from IITs, NITs, IISERs, IISc with CGPA 8.0 or above","Fellowship of Rs.70,000-80,000 per month plus research grant for pursuing PhD at IITs, IISERs, IISc",https://pmrf.in,No specific limit,All,All India,Student/Researcher,All Categories
National Talent Search Examination (NTSE),"Students of Class X, selection through two-stage written examination","Scholarship of Rs.1,250 per month for Class XI-XII and Rs.2,000 per month for undergraduates and postgraduates",https://ncert.nic.in/national-talent-examination.php,Below 18,All,All India,Student,All Categories
Merit-cum-Means Scholarship for Professional and Technical Courses,"Minority students (Muslims, Christians, Sikhs, Buddhists, Jains, Parsis) with family income below Rs.2.5 lakh per annum","Annual scholarship of Rs.20,000 for minority students in professional and technical courses",https://scholarships.gov.in,Below 30,All,All India,Student,Minorities
Pre-Matric Scholarship for Minorities,"Minority students (Muslims, Christians, Sikhs, Buddhists, Jains, Parsis) with family income below Rs.1 lakh per annum",Scholarship for minority students in classes I to X,https://scholarships.gov.in,Jun-15,All,All India,Student,Minorities
Kishore Vaigyanik Protsahan Yojana (KVPY),"Students in Class XI, XII, and first-year undergraduate science programs, selection through aptitude test and interview","Monthly scholarship ranging from Rs.5,000 to Rs.7,000 plus annual contingency grant",https://kvpy.iisc.ac.in,Below 22,All,All India,Student,All Categories
National Means-cum-Merit Scholarship (NMMS),"Students of Class VIII with family income below Rs.1.5 lakh per annum, selection through examination","Scholarship of Rs.12,000 per annum for four years for studies in classes IX to XII",https://mhrd.gov.in/nmms,13-15,All,All India,Student,All Categories
Pragati Scholarship Scheme for Girl Students,"Girl students admitted to AICTE-approved technical institutions, family income below Rs.8 lakh per annum","Scholarship of Rs.50,000 per annum for tuition fee and other expenses",https://www.aicte-pragati-saksham-gov.in,Below 30,Female,All India,Student,All Categories
Saksham Scholarship Scheme for Differently Abled Students,"Differently-abled students with 40% disability admitted to AICTE-approved technical institutions, family income below Rs.8 lakh per annum","Scholarship of Rs.50,000 per annum for tuition fee and other expenses",https://www.aicte-pragati-saksham-gov.in,Below 30,All,All India,Student,All Categories (Differently Abled)
Post-Matric Scholarship for OBC Students,OBC students with family income below Rs.1.5 lakh per annum,Financial assistance for pursuing studies after class X,https://scholarships.gov.in,16-32,All,All India,Student,OBC
Post-Matric Scholarship for ST Students,ST students with family income below Rs.2.5 lakh per annum,Financial assistance for ST students pursuing post-matriculation studies,https://scholarships.gov.in,16-32,All,All India,Student,ST
Credit Guarantee Fund Scheme for Education Loans (CGFSEL),"Students admitted to approved higher education institutions in India, family income criteria applicable",Guarantee for education loans up to Rs.7.5 lakh without collateral security and third-party guarantee,https://www.ncgtc.in,Below 35,All,All India,Student,All Categories
Swami Vivekananda Scholarship for Single Girl Child,"Only girl child in the family with no siblings, family income below specified limit",Scholarship for higher education to a single girl child in a family,https://www.ugc.ac.in,18-25,Female,All India,Student,All Categories
INSPIRE Scholarship for Higher Education (SHE),"Students in top 1% in Class XII board exams, pursuing science courses at bachelor's or master's level","Scholarship of Rs.80,000 per annum for pursuing Bachelor and Masters level education in natural and basic sciences",https://online-inspire.gov.in,17-22,All,All India,Student,All Categories
Ishan Uday Scholarship Scheme for North Eastern Region,"Students from North Eastern states with family income below Rs.8 lakh per annum, admitted through general entrance test","Scholarship of Rs.5,400-7,800 per month for general degree courses and technical/professional courses",https://scholarships.gov.in,Below 30,All,North Eastern States,Student,All Categories
Dr. Ambedkar Post-Matric Scholarship for Economically Backward Classes,Students from Economically Backward Classes (non-SC/ST/OBC) with family income below Rs.1 lakh per annum,Financial assistance for pursuing higher education,https://scholarships.gov.in,16-32,All,All India,Student,Economically Backward Classes
PG Scholarship for University Rank Holders,"Students securing first and second positions in undergraduate programs at universities, pursuing postgraduate courses","Scholarship of Rs.3,100 per month for two years for postgraduate studies",https://www.ugc.ac.in,Below 30,All,All India,Student,All Categories
Rajiv Gandhi National Fellowship for SC Students,SC students pursuing M.Phil/PhD with valid UGC-NET or CSIR-NET qualification,Fellowship for pursuing M.Phil and PhD programs,https://scholarships.gov.in,Below 35,All,All India,Student/Researcher,SC
Rajiv Gandhi National Fellowship for ST Students,ST students pursuing M.Phil/PhD with valid UGC-NET or CSIR-NET qualification,Fellowship for pursuing M.Phil and PhD programs,https://scholarships.gov.in,Below 35,All,All India,Student/Researcher,ST
Maulana Azad National Fellowship for Minority Students,Minority students pursuing M.Phil/PhD with valid UGC-NET or similar qualification,Fellowship for pursuing M.Phil and PhD programs,https://scholarships.gov.in,Below 35,All,All India,Student/Researcher,Minorities
National Fellowship for OBC Students,OBC students pursuing M.Phil/PhD with valid UGC-NET or CSIR-NET qualification,Fellowship for pursuing M.Phil and PhD programs,https://scholarships.gov.in,Below 35,All,All India,Student/Researcher,OBC
CSIR Junior Research Fellowship (JRF),Postgraduate students qualified in CSIR-UGC NET for JRF or GATE with specified cut-off marks,"Fellowship of Rs.31,000 per month for first two years and Rs.35,000 per month for remaining tenure",https://csirhrdg.res.in,Below 35,All,All India,Student/Researcher,All Categories
UGC Junior Research Fellowship (JRF),Postgraduate students qualified in UGC-NET for JRF,"Fellowship of Rs.31,000 per month for first two years and Rs.35,000 per month for remaining tenure",https://www.ugc.ac.in,Below 35,All,All India,Student/Researcher,All Categories
DBT Junior Research Fellowship (JRF),Postgraduate students qualified in DBT-JRF examination,Fellowship for research in biotechnology,https://dbtindia.gov.in,Below 35,All,All India,Student/Researcher,All Categories
e-Shodh Sindhu,Students and faculty of member institutions,Access to academic journals and digital resources for research,https://ess.inflibnet.ac.in,All ages,All,All India,Student/Researcher/Faculty,All Categories
National Sports Scholarship,Students with achievements in recognized sports events at national or international level,Scholarships for sports achievers pursuing education,https://yas.nic.in,Dec-25,All,All India,Student/Sportsperson,All Categories
GATE Scholarship,Students admitted to ME/MTech programs through GATE,"Scholarship of Rs.12,400 per month for ME/MTech students in AICTE-approved institutions",https://www.aicte-india.org,Below 35,All,All India,Student,All Categories
Lakshmi Bai Social Security Pension Scheme (Delhi),Girl students from families with annual income below Rs.1 lakh,Monthly pension and financial assistance for education to girl students in Delhi,https://scholarships.delhi.gov.in,Jun-18,Female,Delhi,Student,All Categories
Chief Minister Scholarship Scheme (Himachal Pradesh),"Students with 70% or above marks in qualifying examination, family income criteria applicable",Scholarship for meritorious students,https://himachal.nic.in,Below 25,All,Himachal Pradesh,Student,All Categories
Mukhyamantri Medhavi Vidyarthi Yojana (Madhya Pradesh),"Students with 75% or above marks in Class XII, family income below Rs.6 lakh per annum",Scholarship for higher education in professional courses,https://scholarshipportal.mp.nic.in,Below 25,All,Madhya Pradesh,Student,All Categories
Free Laptop Scheme (Tamil Nadu),Students enrolled in government and government-aided colleges and polytechnics,Free laptop distribution to students in government/aided colleges,https://www.tn.gov.in/scheme,18-25,All,Tamil Nadu,Student,All Categories
Mukhyamantri Yuva Swarozgar Yojana (Uttarakhand),"Graduates/diploma holders from recognized institutions, residents of Uttarakhand",Financial assistance and loan for entrepreneurship,https://uttarakhand.gov.in,18-35,All,Uttarakhand,Student/Entrepreneur,All Categories
Mukhyamantri Rajshri Yojana (Rajasthan),"Girl students from Rajasthan, family income criteria applicable",Financial assistance for girl students at different stages of education,https://rajshri.rajasthan.gov.in,Jun-24,Female,Rajasthan,Student,All Categories
Mukhyamantri Kanya Utthan Yojana (Bihar),"Girl students from Bihar, family income criteria applicable",Financial assistance for girl students at different stages of education,https://wcd.bihar.gov.in,Below 25,Female,Bihar,Student,All Categories
Dr. Ambedkar Medhavi Vidyarthi Yojana (Uttar Pradesh),"Students with 60% or above marks in qualifying examination, family income below Rs.2 lakh per annum",Scholarship for meritorious students,https://scholarship.up.nic.in,Below 30,All,Uttar Pradesh,Student,All Categories
Gyanodaya Scheme (Gujarat),Girl students in rural areas studying in Class 9,Free bicycle distribution to girl students,https://education.gujarat.gov.in,14-16,Female,Gujarat,Student,All Categories
Pragati Scholarship (AICTE),"Girl students admitted to AICTE-approved institutions, family income below Rs.8 lakh per annum",Scholarship for girls pursuing technical education,https://www.aicte-india.org,Below 30,Female,All India,Student,All Categories
Mukhyamantri Balak & Balika Protsahan Yojana (Haryana),Students with specified attendance and academic performance,Cash incentives for students at different educational levels,https://scholarships.gov.in,Jun-18,All,Haryana,Student,All Categories
Pre-Matric Scholarship for SC Students,SC students with family income below Rs.2.5 lakh per annum,Financial assistance for SC students in classes IX and X,https://scholarships.gov.in,14-16,All,All India,Student,SC
Pre-Matric Scholarship for ST Students,ST students with family income below Rs.2.5 lakh per annum,Financial assistance for ST students in classes IX and X,https://scholarships.gov.in,14-16,All,All India,Student,ST
AICTE SWANATH Scholarship Scheme,Orphan students admitted to AICTE-approved institutions,Scholarship for orphan students pursuing technical education,https://www.aicte-india.org,Below 30,All,All India,Student,All Categories
Eklavya Model Residential Schools (EMRS),"ST students, selection through entrance examination",Quality education to tribal students with residential facilities,https://tribal.nic.in,Nov-18,All,All India,Student,ST
Dr. S. Radhakrishnan Post-Doctoral Fellowship in Humanities and Social Sciences,PhD degree holders below 35 years of age,Fellowship for pursuing post-doctoral research,https://www.ugc.ac.in,Below 35,All,All India,Researcher,All Categories
Vidyalakshmi Portal,Students seeking education loans for higher studies in India and abroad,Education loan portal for students,https://www.vidyalakshmi.co.in,17-35,All,All India,Student,All Categories
Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers,"Children of Beedi/Cine/IOMC/LSDM workers, family income criteria applicable",Scholarship for children of workers in specified industries,https://scholarships.gov.in,Jun-25,All,All India,Student,All Categories
CBSE Merit Scholarship Scheme for Single Girl Child,Only girl child in the family studying in classes XI-XII in CBSE-affiliated schools,Scholarship for single girl child studying in CBSE schools,https://cbse.nic.in,16-18,Female,All India,Student,All Categories
Pradhan Mantri Ujjwala Yojana,Women from BPL households,Provides LPG connections to women from below poverty line households,https://pmuy.gov.in/,18+,Female,All India,Any,All
Pradhan Mantri Awas Yojana - Urban,Urban poor with annual income up to Rs. 3 lakh,Housing for All scheme to provide affordable housing to urban poor,https://pmaymis.gov.in/,18+,All,All India,Any,EWS/LIG/MIG
Pradhan Mantri Awas Yojana - Gramin,Rural households with kutcha houses,Housing scheme for rural population to provide pucca houses,https://pmayg.nic.in/,18+,All,All India,Any,All
Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,Economically weaker sections,Health insurance coverage of Rs. 5 lakh per family per year,https://pmjay.gov.in/,All,All,All India,Any,Economically weaker sections
Pradhan Mantri Kisan Samman Nidhi,Small and marginal farmers with less than 2 hectares of land,Income support of Rs. 6000 per year in three equal installments,https://pmkisan.gov.in/,18+,All,All India,Farmer,All
National Social Assistance Program,Elderly persons/widows/disabled persons below poverty line,Social security scheme providing financial assistance to elderly/widows/disabled,https://nsap.nic.in/,60+ (elderly)/40+ (widows)/18+ (disabled),All,All India,Any,BPL
Sukanya Samriddhi Yojana,Girl child under 10 years,Small savings scheme for girl child education and marriage expenses,https://www.nsiindia.gov.in/InternalPage.aspx?Id_Pk=55,Below 10,Female,All India,Any,All
Atal Pension Yojana,Unorganized sector workers aged 18-40 years,Pension scheme for unorganized sector providing guaranteed pension between Rs. 1000-5000,https://www.npscra.nsdl.co.in/nsdl/scheme-details/apy,18-40,All,All India,Unorganized Sector,All
Pradhan Mantri Mudra Yojana,Small entrepreneurs,Provides loans up to Rs. 10 lakh for non-farm income generating activities,https://www.mudra.org.in/,18+,All,All India,Small Business Owner,All
Pradhan Mantri Suraksha Bima Yojana,Bank account holders aged 18-70,Accident insurance scheme offering coverage of Rs. 2 lakh,https://www.jansuraksha.gov.in/,18-70,All,All India,Any,All
Pradhan Mantri Jeevan Jyoti Bima Yojana,Bank account holders aged 18-50,Life insurance scheme providing coverage of Rs. 2 lakh,https://www.jansuraksha.gov.in/,18-50,All,All India,Any,All
Stand Up India,SC/ST/Women entrepreneurs,Loans between Rs. 10 lakh to Rs. 1 crore for setting up greenfield enterprises,https://www.standupmitra.in/,18+,All (focus on women),All India,Entrepreneur,SC/ST/Women
Pradhan Mantri Fasal Bima Yojana,Farmers,Crop insurance scheme to protect farmers from crop failure,https://pmfby.gov.in/,18+,All,All India,Farmer,All
Rashtriya Krishi Vikas Yojana,Farmers,Scheme to ensure holistic development of agriculture and allied sectors,https://rkvy.nic.in/,18+,All,All India,Farmer,All
National Livelihood Mission - Aajeevika,Rural poor,Poverty alleviation program focusing on promoting self-employment and organization of rural poor,https://aajeevika.gov.in/,18+,All (focus on women),All India,Any,Rural Poor
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Rural youth,Skill development program for rural youth,https://en.wikipedia.org/wiki/Deen_Dayal_Upadhyaya_Grameen_Kaushalya_Yojana,15-35,All,All India,Unemployed,Rural Youth
National Urban Livelihood Mission,Urban poor,Employment opportunities through skill training and subsidized loans,https://nulm.gov.in/,18+,All,All India,Urban Poor,All
Pradhan Mantri Kaushal Vikas Yojana,Youth seeking skill training,Skill development initiative for Indian youth,https://www.pmkvyofficial.org/,15-45,All,All India,Unemployed/Seeking Skills,All
Deen Dayal Antyodaya Yojana,Urban and rural poor,Poverty alleviation program,https://rural.nic.in/scheme/deen-dayal-antyodaya-yojana-day,18+,All,All India,Poor,All
Mid-Day Meal Scheme,School children up to class VIII,Nutritional support to primary education,https://mdm.nic.in/,Jun-14,All,All India,Student,All
Sarva Shiksha Abhiyan,Children aged 6-14 years,Universal access to quality elementary education,https://samagra.education.gov.in/,Jun-14,All,All India,Student,All
Rashtriya Madhyamik Shiksha Abhiyan,Secondary school students,Improve quality of secondary education,https://samagra.education.gov.in/,14-18,All,All India,Student,All
National Scholarship Portal Schemes,Students from minorities/SC/ST/OBC,Various scholarships for students from disadvantaged backgrounds,https://scholarships.gov.in/,Varies by scheme,All,All India,Student,SC/ST/OBC/Minorities
Digital India,All citizens,Transform India into a digitally empowered society and knowledge economy,https://digitalindia.gov.in/,All,All,All India,Any,All
Startup India,Entrepreneurs,Promote and support startups in the country,https://www.startupindia.gov.in/,18+,All,All India,Entrepreneur,All
Make in India,Manufacturers and industrialists,Initiative to encourage manufacturing in India,https://www.makeinindia.gov.in/,18+,All,All India,Manufacturer/Industrialist,All
Swachh Bharat Mission,All citizens,Cleanliness campaign to eliminate open defecation and improve solid waste management,https://swachhbharat.gov.in/,All,All,All India,Any,All
Smart Cities Mission,Urban local bodies,Transform cities into smart cities with essential infrastructure,https://smartcities.gov.in/,NA,NA,Selected Cities,NA,NA
Atal Mission for Rejuvenation and Urban Transformation,Urban local bodies,Provide basic services to households and build amenities in cities,https://amrut.gov.in/,NA,NA,Selected Cities,NA,NA
Beti Bachao Beti Padhao,Girl child and their families,Save and educate the girl child,https://betibachaobetipadhao.wcd.gov.in/,0-18,Female,All India,NA,All
Integrated Child Development Services,Children under 6 years and pregnant/lactating mothers,Provides food nutrition education health and pre-school education,https://icds-wcd.nic.in/,0-6 (children),Female (pregnant/lactating mothers),All India,NA,All
Rashtriya Bal Swasthya Karyakram,Children aged 0-18 years,Health screening and early intervention services for children,https://rbsk.gov.in/,0-18,All,All India,NA,All
National Rural Health Mission,Rural population,Provide accessible affordable and quality healthcare to rural population,https://nhm.gov.in/,All,All,Rural Areas,Any,All
National Urban Health Mission,Urban population,Provide primary healthcare services to urban population,https://nhm.gov.in/,All,All,Urban Areas,Any,All
Janani Suraksha Yojana,Pregnant women from low-income families,Reduce maternal and infant mortality by promoting institutional delivery,https://nhm.gov.in/janani-suraksha-yojana.htm,19-45,Female,All India,Any,BPL/SC/ST
Janani Shishu Suraksha Karyakram,Pregnant women and sick infants,Entitles pregnant women to free delivery and sick infants to free treatment,https://nhm.gov.in/janani-shishu-suraksha-karyakram.htm,19-45 (women)/0-1 (infants),Female (mothers)/All (infants),All India,Any,All
Rashtriya Swasthya Bima Yojana,BPL families,Health insurance scheme for BPL families,https://www.india.gov.in/spotlight/rashtriya-swasthya-bima-yojana,All,All,All India,Any,BPL
National Food Security Mission,Farmers,Increase production of rice wheat pulses and coarse cereals,https://www.nfsm.gov.in/,18+,All,All India,Farmer,All
Mission for Integrated Development of Horticulture,Farmers,Promote holistic growth of horticulture sector,https://midh.gov.in/,18+,All,All India,Farmer,All
National Bamboo Mission,Farmers and entrepreneurs in bamboo sector,Promote holistic growth of bamboo sector,https://nbm.nic.in/,18+,All,All India,Farmer/Entrepreneur,All
National Livestock Mission,Livestock farmers,Sustainable development of livestock sector,https://dahd.nic.in/schemes/state-sector-schemes/national-livestock-mission,18+,All,All India,Livestock Farmer,All
Pradhan Mantri Krishi Sinchayee Yojana,Farmers,Improve farm productivity through assured irrigation,https://pmksy.gov.in/,18+,All,All India,Farmer,All
Soil Health Card Scheme,Farmers,Provide information on soil health to farmers,https://soilhealth.dac.gov.in/,18+,All,All India,Farmer,All
e-NAM (National Agriculture Market),Farmers,Online trading platform for agricultural commodities,https://www.enam.gov.in/,18+,All,All India,Farmer,All
Pradhan Mantri Gram Sadak Yojana,Rural communities,Provide all-weather road connectivity to unconnected habitations,https://pmgsy.nic.in/,NA,NA,Rural Areas,NA,NA
Shyama Prasad Mukherji Rurban Mission,Rural clusters,Develop rural areas by providing urban amenities,https://rurban.gov.in/,NA,NA,Selected Clusters,NA,NA
Mahatma Gandhi National Rural Employment Guarantee Act,Rural households,Guarantees 100 days of wage employment in a financial year,https://nrega.nic.in/,18+,All,Rural Areas,Rural Worker,All
Deendayal Upadhyaya Gram Jyoti Yojana,Rural households,Rural electrification scheme,https://www.ddugjy.gov.in/,NA,NA,Rural Areas,NA,NA
Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Un-electrified households,Universal household electrification,https://saubhagya.gov.in/,NA,NA,All India,NA,All
UJALA (Unnat Jyoti by Affordable LEDs for All),All households,Promote efficient lighting through LEDs,https://www.ujala.gov.in/,18+,All,All India,Any,All
Jal Jeevan Mission,Rural households,Provide functional tap connection to every rural household,https://jaljeevanmission.gov.in/,NA,NA,Rural Areas,NA,NA
Swadesh Darshan,Tourism sector,Integrated development of theme-based tourist circuits,https://swadeshdarshan.gov.in/,NA,NA,Selected States,Tourism Industry,NA
PRASAD (Pilgrimage Rejuvenation and Spiritual Heritage Augmentation Drive),Religious tourism,Develop and identify pilgrimage sites across India,https://prasad.gov.in/,NA,NA,Selected Cities,Tourism Industry,NA
National Heritage City Development and Augmentation Yojana,Urban local bodies with heritage sites,Preserve and revitalize heritage cities,https://mohua.gov.in/cms/hriday.php,NA,NA,Selected Cities,NA,NA
Khelo India,Sports persons aged under 17,Develop sports at grass-root level,https://kheloindia.gov.in/,Aug-17,All,All India,Sports Person,All
National Service Scheme,College students,Personality development through community service,https://nss.gov.in/,17-25,All,All India,Student,All
Rashtriya Yuva Sashaktikaran Karyakram,Youth,Youth empowerment scheme,https://www.india.gov.in/spotlight/rashtriya-yuva-sashaktikaran-karyakram-rysk,15-29,All,All India,Youth,All
Pradhan Mantri Vaya Vandana Yojana,Senior citizens aged 60 years and above,Pension scheme for senior citizens,https://www.licindia.in/Products/Pension-Plans/Pradhan-Mantri-Vaya-Vandana-Yojana,60+,All,All India,Senior Citizen,All
Swadhar Greh,Women in difficult circumstances,Rehabilitation of women in difficult circumstances,https://wcd.nic.in/schemes/swadhar-greh-scheme-women-difficult-circumstances,18+,Female,All India,Women in distress,All
Support to Training and Employment Programme for Women,Women,Skill development and employment for women,https://www.nitiforstates.gov.in/best-practice-detail?id=106334,18+,Female,All India,Any,All
Working Women Hostel,Working women,Safe and affordable accommodation for working women,https://wcdhry.gov.in/schemes-for-women/working-women-hostel/,18+,Female,All India,Working Women,All
One Stop Centre Scheme,Women affected by violence,Support women affected by violence,https://wcd.nic.in/schemes/one-stop-centre-scheme-1,All,Female,All India,Women affected by violence,All
Mahila Shakti Kendra,Rural women,Empower rural women through community participation,https://msme.gov.in/node/1769,18+,Female,Rural Areas,Any,All
Pradhan Mantri Matru Vandana Yojana,Pregnant and lactating mothers,Maternity benefit program providing partial compensation for wage loss,https://wcd.nic.in/schemes/pradhan-mantri-matru-vandana-yojana,19+,Female,All India,Any,All
National Creche Scheme,Children of working mothers,Provide day-care facilities for children of working mothers,https://wcd.nic.in/schemes/national-creche-scheme,0-6 (children),Female (mothers),All India,Working Women,All
Rashtriya Mahila Kosh,Poor women,Micro-credit organization for women,https://pib.gov.in/PressReleasePage.aspx?PRID=1742800,18+,Female,All India,Low Income,All
Nai Roshni,Minority women,Leadership development of minority women,https://nairoshni.minorityaffairs.gov.in/,18+,Female,All India,Any,Minorities
Pradhan Mantri Adarsh Gram Yojana,Villages with significant SC population,Integrated development of SC majority villages,https://socialjustice.gov.in/schemes/27,NA,NA,Selected Villages,NA,SC
Venture Capital Fund for Scheduled Castes,SC entrepreneurs,Promote entrepreneurship among Scheduled Castes,https://socialjustice.gov.in/schemes/29,18+,All,All India,Entrepreneur,SC
Credit Enhancement Guarantee Scheme for Scheduled Castes,SC entrepreneurs,Guarantee scheme to promote entrepreneurship among Scheduled Castes,https://socialjustice.gov.in/schemes/30,18+,All,All India,Entrepreneur,SC
National Scheduled Castes Finance and Development Corporation,SC individuals below double the poverty line,Financial assistance for income-generating activities,https://www.nsfdc.nic.in/,18+,All,All India,Any,SC
Post-Matric Scholarship for SC Students,SC students pursuing post-matriculation education,Financial assistance for education,https://scholarships.gov.in/,16+,All,All India,Student,SC
Pre-Matric Scholarship for SC Students,SC students studying in classes 9-10,Financial assistance for education,https://scholarships.gov.in/,14-16,All,All India,Student,SC
Pradhan Mantri Adarsh Gram Yojana,Villages with significant SC population,Integrated development of SC majority villages,https://socialjustice.gov.in/schemes/27,NA,NA,Selected Villages,NA,SC
National Fellowship for SC Students,SC students pursuing higher education,Financial support for higher education,https://socialjustice.gov.in/schemes/29,21+,All,All India,Student,SC
Self Employment Scheme for Rehabilitation of Manual Scavengers,Manual scavengers and their dependents,Rehabilitation of manual scavengers,https://socialjustice.gov.in/schemes/25,18+,All,All India,Manual Scavenger,NA
Pre-Matric Scholarship for ST Students,ST students studying in classes 9-10,Financial assistance for education,https://tribal.nic.in/,14-16,All,All India,Student,ST
Post-Matric Scholarship for ST Students,ST students pursuing post-matriculation education,Financial assistance for education,https://tribal.nic.in/,16+,All,All India,Student,ST
National Overseas Scholarship for ST Students,ST students pursuing higher education abroad,Financial support for studying abroad,https://tribal.nic.in/,18-35,All,All India,Student,ST
National Fellowship for ST Students,ST students pursuing higher education,Financial support for higher education,https://tribal.nic.in/,21+,All,All India,Student,ST
Tribal Research Institutes,ST communities,Research and documentation of tribal culture,https://tribal.nic.in/,NA,NA,Selected States,NA,ST
Vanbandhu Kalyan Yojana,Tribal population,All-round development of tribal areas,https://tribal.nic.in/,NA,NA,Tribal Areas,Any,ST
Nai Manzil,Minorities,Education and skill development of minorities,https://minorityaffairs.gov.in/schemes/nai-manzil,17-35,All,All India,Any,Minorities
Maulana Azad National Fellowship,Minority students,Fellowship for minority students,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=625&lid=107,21+,All,All India,Student,Minorities
Seekho aur Kamao,Minorities,Skill development initiative for minorities,https://minorityaffairs.gov.in/schemes/seekho-aur-kamao,14+,All,All India,Any,Minorities
USTTAD (Upgrading the Skills and Training in Traditional Arts/Crafts for Development),Minorities,Preserve and promote traditional arts and crafts of minorities,https://minorityaffairs.gov.in/schemes/usttad,18+,All,All India,Artisan/Craftsperson,Minorities
Pradhan Mantri Jan Vikas Karyakram,Minorities,Socio-economic development of minority concentrated areas,https://minorityaffairs.gov.in/schemes/pradhan-mantri-jan-vikas-karyakram-pmjvk,NA,NA,Minority Concentrated Areas,NA,Minorities
Hamari Dharohar,Minorities,Preserve rich heritage of minority communities,https://minorityaffairs.gov.in/schemes/hamari-dharohar,NA,NA,All India,NA,Minorities
Jiyo Parsi,Parsi community,Increase the population of Parsi community,https://minorityaffairs.gov.in/schemes/jiyo-parsi,18+,All,All India,NA,Parsi
Pre-Matric Scholarship for Minorities,Minority students studying in classes 1-10,Financial assistance for education,https://scholarships.gov.in/,May-16,All,All India,Student,Minorities
Post-Matric Scholarship for Minorities,Minority students pursuing post-matriculation education,Financial assistance for education,https://scholarships.gov.in/,16+,All,All India,Student,Minorities
Merit-cum-Means Scholarship for Professional and Technical Courses,Minority students in professional courses,Financial assistance for professional education,https://scholarships.gov.in/,16+,All,All India,Student,Minorities
Padho Pardesh,Minority students pursuing higher education abroad,Interest subsidy on education loans for overseas studies,https://minorityaffairs.gov.in/schemes/padho-pardesh,18-35,All,All India,Student,Minorities
Credit Line to National Minorities Development and Finance Corporation,Minorities with annual family income less than double the poverty line,Credit support to minorities for self-employment,https://www.nmdfc.org/,18+,All,All India,Any,Minorities
Skill Development Initiative for Minorities,Minorities,Skill training for minorities for employment and self-employment,https://minorityaffairs.gov.in/,18+,All,All India,Any,Minorities
Garib Nawaz Employment Scheme,Minorities,Employment oriented skill development training,https://minorityaffairs.gov.in/schemes/garib-nawaz-employment-scheme,14+,All,All India,Any,Minorities
Education Scheme for Madrasas and Minorities,Minority educational institutions,Financial assistance to madrasas and minority educational institutions,https://minorityaffairs.gov.in/,NA,NA,All India,NA,Minorities
Uchchatar Avishkar Yojana,Students and researchers,Promote innovation in higher education,https://uay.gov.in/,18+,All,All India,Student/Researcher,All
IMPRINT (Impacting Research Innovation and Technology),Academic and research institutions,Fund research in premier academic institutions,https://imprint-india.org/,NA,NA,All India,NA,NA
Rashtriya Uchchatar Shiksha Abhiyan,Higher education institutions,Improve access equity and quality in higher education,https://rusa.edu.in/,NA,NA,All India,NA,NA
Global Initiative of Academic Networks,Higher education institutions,Bring international experience in academic and research,https://gian.iitkgp.ac.in/,NA,NA,All India,NA,NA
Unnat Bharat Abhiyan,Higher education institutions,Connect institutions of higher education with local communities,https://unnatbharatabhiyan.gov.in/,NA,NA,All India,NA,NA
Impactful Policy Research in Social Science,Researchers in social sciences,Funding for policy-relevant research in social sciences,https://icssr.org/iprisscheme,NA,NA,All India,Researcher,NA
National Digital Library,Students and learners,Virtual repository of learning resources,https://ndl.iitkgp.ac.in/,All,All,All India,Student/Learner,All
SWAYAM (Study Webs of Active-Learning for Young Aspiring Minds),Students and learners,Online courses for education,https://swayam.gov.in/,All,All,All India,Student/Learner,All
E-Shodh Sindhu,Academic institutions,Access to electronic journals and databases,https://ess.inflibnet.ac.in/,NA,NA,All India,Academic Institution,NA
National Agricultural Higher Education Project,Agricultural universities,Strengthen agricultural education system,https://nahep.icar.gov.in/,NA,NA,All India,NA,NA
Shaala Siddhi,Schools,School quality assessment and improvement,https://shaalasiddhi.niepa.ac.in/,NA,NA,All India,NA,NA
Operation Digital Board,Educational institutions,Smart classrooms in higher education institutions,https://www.education.gov.in/en/odb,NA,NA,All India,NA,NA
Scheme for Higher Education Youth in Apprenticeship and Skills,Higher education graduates,Industry apprenticeship opportunities for general graduates,https://shreyas.gov.in/,21-30,All,All India,Graduate,All
